gene	tier	drug	drug_id	approved	score	interaction_type	directionality	n_sources	n_publications	sources
TTK	2	COMPOUND 27F [PMID: 25625617]	iuphar.ligand:9238	False	3.528799299552181	inhibitor	INHIBITORY	1	0	GuideToPharmacology
TTK	2	COMPOUND 34H [PMID: 27055065]	iuphar.ligand:9169	False	3.528799299552181	inhibitor	INHIBITORY	1	0	GuideToPharmacology
TTK	2	LUVIXASERTIB	iuphar.ligand:11664	False	3.528799299552181	inhibitor	INHIBITORY	1	0	GuideToPharmacology
PPP2CA	2	CALYCULIN A	drugbank:DB02860	False	2.940666082960152	inhibitor	INHIBITORY	1	0	GuideToPharmacology
PPP2CA	2	CANTHARIDIN	rxcui:1984	True	2.940666082960152	inhibitor	INHIBITORY	1	0	GuideToPharmacology
PPP2CA	2	LB-100	iuphar.ligand:11105	False	2.940666082960152	inhibitor	INHIBITORY	1	0	ChEMBL
PPP2CA	2	LB-100	drugbank:DB15412	False	2.940666082960152			1	0	TTD
PPP2CA	2	OKADAIC ACID	iuphar.ligand:5349	False	2.940666082960152	inhibitor	INHIBITORY	1	0	GuideToPharmacology
CCNB1	2	SELICICLIB	ncit:C62783	False	2.714460999655525			1	1	DTC
TTK	2	GNE-7915	iuphar.ligand:8073	False	1.76439964977609	inhibitor	INHIBITORY	1	0	GuideToPharmacology
TTK	2	MPS1-IN-1	iuphar.ligand:9271	False	1.76439964977609	inhibitor	INHIBITORY	1	0	GuideToPharmacology
TTK	2	NMS-P715	iuphar.ligand:9401	False	1.76439964977609	inhibitor	INHIBITORY	1	0	GuideToPharmacology
AURKB	2	BI-811283	chembl:CHEMBL3545395	False	1.745010642635694	inhibitor	INHIBITORY	2	1	ChEMBL;TTD
CCNB1	2	PROTOAPIGENONE	chembl:CHEMBL414890	False	1.260285464125779			1	0	DTC
CDK1	2	ARUNCIN B	chembl:CHEMBL2203686	False	1.202999761210971			1	1	DTC
CDK1	2	CHEMBL:CHEMBL1082552	chembl:CHEMBL1082552	False	1.202999761210971			1	1	DTC
TTK	2	EMPESERTIB	ncit:C116074	False	1.17626643318406	inhibitor	INHIBITORY	1	0	GuideToPharmacology
TTK	2	MPI-0479605	iuphar.ligand:9399	False	1.17626643318406	inhibitor	INHIBITORY	1	0	GuideToPharmacology
AURKB	2	GSK1070916	iuphar.ligand:8358	False	0.9694503570198302	inhibitor,inhibitor	INHIBITORY,INHIBITORY	5	0	ChEMBL;GuideToPharmacology;MyCancerGenome;TALC;TTD
